Season,Goals,Games,Penalty,PowerPlays,Shots,Crosby
2005,0.25,0,-1,0.238095238,0.345882353,0
2006,0.217391304,0.036585366,-0.153846154,0.1875,0.362244898,0
2007,0.630769231,0.353658537,0.025,0.727272727,0.612107623,0
2008,0.410714286,0.025316456,-0.055555556,0.631578947,0.549242424,0
2009,-0.02,-0.125,0.202247191,0,0.190217391,0
2010,0,0.481012658,0.243902439,-0.428571429,0.561307902,0
2011,0.789473684,0.717948718,0.461538462,0.846153846,0.752475248,0
2012,0.53125,0.25,0.555555556,0.8125,0.436363636,0
2013,0.294117647,-0.025641026,0.041666667,0.541666667,0.329015544,0
2014,0.471698113,0.049382716,0.189655172,0.6,0.4,0
2015,0.28,-0.012658228,0.20754717,0.473684211,0.376884422,0
2016,-0.333333333,0.085365854,0.52,0.176470588,0.185303514,0
2017,0.408163265,0,-0.4375,0.470588235,0.304225352,0
2018,0.31372549,0.024691358,0.1,0.333333333,0.349112426,0
